,tac,core,zM,zRAM,zDD,tag,cat,above100
MU,2.254,2.316,2.557,3.0,0.266,balanced,A,True
DELL,1.712,1.057,1.561,2.867,0.031,stability-driven,A,True
MRVL,1.604,0.911,1.834,2.189,0.064,balanced,A,True
ARM,1.199,0.424,1.354,1.864,-0.311,balanced,A,True
AMD,1.026,0.947,1.352,1.011,0.322,return-driven,A,True
LRCX,0.918,1.044,0.72,1.089,1.064,stability-driven,A,True
COHR,0.889,1.172,1.145,0.896,0.301,balanced,A,True
NBIS,0.833,0.768,1.143,0.866,0.079,return-driven,A,True
ALAB,0.783,0.38,1.126,0.29,0.874,return-driven,A,True
AMAT,0.715,0.786,0.391,0.708,1.458,stability-driven,A,True
TER,0.58,0.905,0.759,0.507,0.306,return-driven,A,True
MPWR,0.454,0.475,0.236,0.653,0.596,stability-driven,A,True
ASML,0.445,0.526,-0.027,0.536,1.348,stability-driven,A,True
CRDO,0.349,0.494,0.453,-0.456,1.526,balanced,A,True
TSM,0.259,0.345,-0.133,0.391,0.91,stability-driven,A,True
VRT,0.217,0.452,0.265,0.455,-0.309,balanced,A,True
DDOG,0.157,-0.027,0.186,0.08,0.224,balanced,A,True
PANW,0.14,-0.068,-0.098,0.168,0.627,balanced,A,True
APLD,0.075,0.331,0.339,-0.198,-0.04,balanced,A,True
IREN,0.071,0.784,0.565,-0.399,-0.218,return-driven,A,True
GEV,0.053,0.134,-0.078,0.396,-0.255,broken trend,A,False
CDNS,-0.0,-0.053,-0.325,-0.143,0.982,balanced,A,True
FN,-0.019,0.17,0.065,-0.087,-0.088,broken trend,A,False
CRWD,-0.031,-0.205,-0.16,-0.044,0.28,balanced,A,True
CLS,-0.053,0.169,0.193,-0.311,-0.154,balanced,A,True
GOOGL,-0.073,0.138,-0.28,-0.247,0.697,balanced,B,True
ANET,-0.156,-0.151,-0.378,-0.227,0.467,balanced,A,True
AAPL,-0.164,-0.068,-0.491,-0.399,0.983,balanced,B,True
NVDA,-0.212,-0.138,-0.447,-0.286,0.447,balanced,A,True
AMZN,-0.321,-0.283,-0.555,-0.52,0.551,balanced,B,True
AVGO,-0.322,-0.247,-0.361,-0.386,-0.122,balanced,A,True
SNPS,-0.338,-0.341,-0.596,-0.498,0.522,balanced,A,True
NET,-0.35,-0.405,-0.495,-0.431,0.117,balanced,A,True
ORCL,-0.351,-0.408,-0.474,-0.482,0.156,balanced,B,True
CRWV,-0.436,-0.663,-0.455,-0.261,-0.699,broken trend,A,False
SNOW,-0.449,-0.546,-0.605,-0.783,0.484,balanced,A,True
TLN,-0.49,-0.394,-0.566,-0.729,0.099,broken trend,A,False
TSLA,-0.578,-0.464,-0.657,-0.762,-0.076,broken trend,B,False
META,-0.668,-0.651,-0.827,-0.781,-0.112,broken trend,B,False
MSFT,-0.678,-0.652,-0.809,-0.986,0.158,broken trend,B,False
SMCI,-0.724,-0.91,-0.589,-0.458,-1.493,broken trend,A,False
VST,-0.728,-0.685,-0.864,-0.888,-0.141,broken trend,A,False
APP,-0.748,-0.729,-0.661,-0.8,-0.851,balanced,A,True
RDDT,-0.822,-0.796,-0.611,-1.048,-0.901,balanced,A,True
PLTR,-0.891,-0.845,-0.862,-0.945,-0.861,broken trend,A,False
NRG,-0.966,-0.933,-0.937,-1.008,-0.955,broken trend,A,False
KLAC,-0.993,-0.867,-0.486,-0.498,-3.0,broken trend,A,False
CEG,-1.025,-0.959,-0.951,-1.093,-1.07,broken trend,A,False
NOW,-1.083,-1.159,-1.028,-1.033,-1.291,broken trend,A,False
TEM,-1.103,-1.098,-0.993,-1.306,-0.995,broken trend,A,False
